Date,Close,Chg,Net Capital Inflow,Extra Large Single Net Inflow,Large Order Net Inflow,Net inflow of intermediate orders,Net inflow of small orders
2021-09-17,47.99,0.0116,71383500.0,44908800.0,26474700.0,78791500.0,-150000000.0
2021-09-22,46.15,-0.0383,-779000000.0,-388000000.0,-391000000.0,131000000.0,648000000.0
2021-09-23,45.58,-0.0124,-146000000.0,-281000000.0,135000000.0,-91392000.0,237000000.0
2021-09-24,45.51,-0.0015,53415000.0,5624200.0,47790800.0,-33374800.0,-20040200.0
2021-09-27,45.83,0.007,25565800.0,-8766500.0,34332200.0,-81307600.0,55741900.0
2021-09-28,47.16,0.029,394000000.0,421000000.0,-26993700.0,-108000000.0,-286000000.0
2021-09-29,48.30,0.0242,301000000.0,71063800.0,230000000.0,-43703800.0,-257000000.0
2021-09-30,47.19,-0.023,-115000000.0,-82451600.0,-32580400.0,81191200.0,33840800.0
2021-10-08,47.67,0.0102,30735400.0,52469600.0,-21734300.0,16078500.0,-46813800.0
2021-10-11,49.74,0.0434,375000000.0,209000000.0,166000000.0,-334000000.0,-40726700.0
2021-10-12,49.83,0.0018,361000000.0,177000000.0,185000000.0,-207000000.0,-155000000.0
2021-10-13,49.77,-0.0012,107000000.0,-31128800.0,138000000.0,-215000000.0,108000000.0
2021-10-14,49.10,-0.0135,-138000000.0,-120000000.0,-17825300.0,57252800.0,81044600.0
2021-10-15,50.05,0.0193,292000000.0,132000000.0,159000000.0,-125000000.0,-167000000.0
2021-10-18,48.60,-0.029,-91497000.0,-180000000.0,88614700.0,-88259700.0,180000000.0
2021-10-19,49.62,0.021,122000000.0,32206500.0,89827200.0,-55826300.0,-66207400.0
2021-10-20,49.14,-0.0097,33739500.0,-42861800.0,76601300.0,-39288800.0,5549300.0
2021-10-21,50.49,0.0275,360000000.0,152000000.0,208000000.0,-141000000.0,-219000000.0
2021-10-22,51.03,0.0107,98902200.0,47686300.0,51216000.0,95486500.0,-194000000.0
2021-10-25,51.33,0.0059,140000000.0,-77337000.0,218000000.0,-4905500.0,-135000000.0
2021-10-26,52.04,0.0138,81299900.0,26788700.0,54511200.0,129000000.0,-210000000.0
2021-10-27,51.26,-0.015,-374000000.0,-307000000.0,-66558700.0,163000000.0,210000000.0
2021-10-28,50.96,-0.0059,-140000000.0,-117000000.0,-22267000.0,125000000.0,14655800.0
2021-10-29,50.71,-0.0049,-58797800.0,30281300.0,-89079100.0,65588300.0,-6790400.0
2021-11-01,50.86,0.003,52327600.0,72166000.0,-19838400.0,17263500.0,-69591100.0
2021-11-02,48.99,-0.0368,-441000000.0,-232000000.0,-209000000.0,270000000.0,170000000.0
2021-11-03,48.44,-0.0112,-15507400.0,-142000000.0,126000000.0,57175500.0,-41668100.0
2021-11-04,48.49,0.001,-199000000.0,-36150400.0,-162000000.0,138000000.0,60932000.0
2021-11-05,48.30,-0.0039,-39189500.0,-170000000.0,130000000.0,94536700.0,-55347200.0
2021-11-08,48.04,-0.0054,-366000000.0,-286000000.0,-80080300.0,269000000.0,96998300.0
2021-11-09,47.80,-0.005,-246000000.0,-204000000.0,-41604200.0,174000000.0,71143800.0
2021-11-10,47.37,-0.009,-360000000.0,-87682700.0,-272000000.0,82368600.0,277000000.0
2021-11-11,49.56,0.0462,801000000.0,674000000.0,127000000.0,-353000000.0,-448000000.0
2021-11-12,49.14,-0.0085,15010000.0,-90572600.0,106000000.0,3348700.0,-18358800.0
2021-11-15,49.67,0.0108,83653600.0,59210400.0,24443200.0,533300.0,-84186800.0
2021-11-16,49.24,-0.0087,-129000000.0,-62585400.0,-66339500.0,50823500.0,78101500.0
2021-11-17,48.58,-0.0134,-232000000.0,-47318400.0,-185000000.0,65227400.0,167000000.0
2021-11-18,48.15,-0.0089,-90381200.0,7103600.0,-97484900.0,33597500.0,56783700.0
2021-11-19,49.07,0.0191,270000000.0,174000000.0,96575400.0,-38784500.0,-231000000.0
2021-11-22,48.43,-0.013,-47983000.0,-3066300.0,-44916700.0,9265100.0,38718000.0
2021-11-23,48.49,0.0012,30354200.0,120000000.0,-89364600.0,-37453600.0,7099300.0
2021-11-24,48.48,-0.0002,-179000000.0,-124000000.0,-55651900.0,88537100.0,90689800.0
2021-11-25,48.16,-0.0066,-120000000.0,-31567800.0,-88656700.0,98026500.0,22198000.0
2021-11-26,46.84,-0.0274,-1055000000.0,-873000000.0,-182000000.0,406000000.0,648000000.0
2021-11-29,46.56,-0.006,-635000000.0,-560000000.0,-75110500.0,379000000.0,256000000.0
2021-11-30,46.23,-0.0071,-205000000.0,-52213800.0,-152000000.0,220000000.0,-15717100.0
2021-12-01,46.73,0.0108,224000000.0,116000000.0,108000000.0,41683900.0,-266000000.0
2021-12-02,47.63,0.0193,304000000.0,300000000.0,4658900.0,-95849100.0,-209000000.0
2021-12-03,47.99,0.0076,166000000.0,231000000.0,-64257700.0,3321700.0,-170000000.0
2021-12-06,48.56,0.0119,42067100.0,192000000.0,-150000000.0,-22177900.0,-19889200.0
2021-12-07,48.58,0.0004,39407500.0,74144500.0,-34737000.0,-56489600.0,17082100.0
2021-12-08,48.78,0.0041,179000000.0,98132900.0,80775200.0,18990500.0,-198000000.0
2021-12-09,49.87,0.0223,596000000.0,204000000.0,391000000.0,-98491700.0,-497000000.0
2021-12-10,50.23,0.0072,31801500.0,-70391300.0,102000000.0,-3824500.0,-27976900.0
2021-12-13,49.16,-0.0213,-181000000.0,-92910600.0,-88357100.0,114000000.0,67572000.0
2021-12-14,47.89,-0.0258,-797000000.0,-793000000.0,-4138700.0,301000000.0,496000000.0
2021-12-15,47.74,-0.0031,-268000000.0,-116000000.0,-152000000.0,180000000.0,87923100.0
2021-12-16,47.94,0.0042,-130000000.0,-125000000.0,-5308000.0,75252400.0,55223800.0
2021-12-17,47.51,-0.009,-78749600.0,-236000000.0,158000000.0,-40162200.0,119000000.0
2021-12-20,47.43,-0.0017,-107000000.0,-140000000.0,33536400.0,139000000.0,-32016700.0
2021-12-21,47.37,-0.0013,-37740700.0,-16436600.0,-21304200.0,-40446600.0,78187300.0
2021-12-22,46.75,-0.0131,-238000000.0,-129000000.0,-109000000.0,106000000.0,131000000.0
2021-12-23,46.96,0.0045,-56887300.0,-138000000.0,81115100.0,-69148600.0,126000000.0
2021-12-24,46.60,-0.0077,-153000000.0,-131000000.0,-22637900.0,82553000.0,70705400.0
2021-12-27,46.07,-0.0114,-675000000.0,-1109000000.0,434000000.0,271000000.0,405000000.0
2021-12-28,46.37,0.0065,-546000000.0,-438000000.0,-108000000.0,346000000.0,200000000.0
2021-12-29,44.36,-0.0433,-2698000000.0,-2461000000.0,-237000000.0,1099000000.0,1598000000.0
2021-12-30,45.24,0.0198,-199000000.0,49655600.0,-249000000.0,92455800.0,107000000.0
2021-12-31,45.45,0.0046,-40262400.0,-183000000.0,143000000.0,98823800.0,-58561400.0
2022-01-04,45.09,-0.0079,-542000000.0,-250000000.0,-292000000.0,76087900.0,466000000.0
2022-01-05,45.79,0.0155,572000000.0,360000000.0,212000000.0,-308000000.0,-264000000.0
2022-01-06,44.89,-0.0197,-247000000.0,-198000000.0,-48633800.0,138000000.0,108000000.0
2022-01-07,45.79,0.02,170000000.0,146000000.0,24026100.0,2836500.0,-173000000.0
2022-01-10,45.97,0.0039,121000000.0,22234600.0,98848400.0,-111000000.0,-10178400.0
2022-01-11,46.59,0.0135,478000000.0,559000000.0,-81161800.0,-379000000.0,-98922800.0
2022-01-12,46.50,-0.0019,83824400.0,38803100.0,45021300.0,-126000000.0,42094700.0
2022-01-13,46.08,-0.009,-35422400.0,-66742400.0,31320000.0,-8603500.0,44025900.0
2022-01-14,44.76,-0.0286,-397000000.0,-115000000.0,-282000000.0,35251100.0,361000000.0
2022-01-17,45.32,0.0125,-3807300.0,147000000.0,-151000000.0,-115000000.0,118000000.0
2022-01-18,45.75,0.0095,-181000000.0,281000000.0,-461000000.0,-17151600.0,198000000.0
2022-01-19,46.44,0.0151,107000000.0,222000000.0,-115000000.0,-116000000.0,9372000.0
2022-01-20,48.11,0.036,1009000000.0,843000000.0,166000000.0,-336000000.0,-672000000.0
2022-01-21,48.56,0.0094,459000000.0,381000000.0,77906000.0,-206000000.0,-253000000.0
2022-01-24,48.59,0.0006,-268000000.0,-128000000.0,-140000000.0,144000000.0,124000000.0
2022-01-25,47.64,-0.0196,-33944900.0,-23885800.0,-10059100.0,-36623700.0,70568600.0
2022-01-26,47.74,0.0021,-19191300.0,98735700.0,-118000000.0,11160200.0,8031100.0
2022-01-27,47.51,-0.0048,73860300.0,89665500.0,-15805200.0,-98930900.0,25070700.0
2022-01-28,45.95,-0.0328,-83027000.0,23584400.0,-107000000.0,21846000.0,61180900.0
2022-02-07,48.09,0.0466,249000000.0,132000000.0,117000000.0,-224000000.0,-25221600.0
2022-02-08,48.45,0.0075,206000000.0,93100800.0,113000000.0,-22144300.0,-184000000.0
2022-02-09,48.36,-0.0019,-155000000.0,52744900.0,-208000000.0,121000000.0,34480700.0
2022-02-10,48.45,0.0019,-17128600.0,64080100.0,-81208600.0,26496800.0,-9368200.0
2022-02-11,49.50,0.0217,653000000.0,443000000.0,210000000.0,-279000000.0,-374000000.0
2022-02-14,47.94,-0.0315,-172000000.0,-83023900.0,-88732100.0,439800.0,171000000.0
2022-02-15,46.96,-0.0204,-492000000.0,-293000000.0,-198000000.0,92648800.0,399000000.0
2022-02-16,47.81,0.0181,-161000000.0,32592300.0,-194000000.0,134000000.0,27158800.0
2022-02-17,48.20,0.0082,132000000.0,-32678800.0,165000000.0,-101000000.0,-31546100.0
2022-02-18,48.80,0.0124,107000000.0,198000000.0,-91498200.0,-8426700.0,-98223900.0
2022-02-21,48.50,-0.0061,-171000000.0,-68644900.0,-102000000.0,97078200.0,74006400.0
2022-02-22,47.96,-0.0111,-117000000.0,-80073300.0,-36551700.0,21667200.0,94957900.0
2022-02-23,47.57,-0.0081,-247000000.0,-140000000.0,-106000000.0,147000000.0,99334800.0
2022-02-24,46.76,-0.017,-379000000.0,-225000000.0,-153000000.0,181000000.0,197000000.0
2022-02-25,46.55,-0.0045,-338000000.0,-118000000.0,-220000000.0,194000000.0,144000000.0
2022-02-28,46.54,-0.0002,-270000000.0,-199000000.0,-71399600.0,163000000.0,107000000.0
2022-03-01,46.98,0.0095,-89594700.0,-46379700.0,-43215000.0,136000000.0,-46217600.0
2022-03-02,46.21,-0.0164,-471000000.0,-332000000.0,-139000000.0,292000000.0,179000000.0
2022-03-03,46.47,0.0056,-130000000.0,-37923100.0,-92518900.0,121000000.0,9736500.0
2022-03-04,45.44,-0.0222,-581000000.0,-455000000.0,-126000000.0,332000000.0,249000000.0
2022-03-07,43.50,-0.0427,-1133000000.0,-945000000.0,-188000000.0,293000000.0,840000000.0
2022-03-08,42.22,-0.0294,-336000000.0,-78320400.0,-257000000.0,-101000000.0,437000000.0
2022-03-09,41.13,-0.0258,-395000000.0,-85789800.0,-310000000.0,53713300.0,342000000.0
2022-03-10,41.44,0.0075,-40480400.0,42360900.0,-82841300.0,-245000000.0,285000000.0
2022-03-11,41.19,-0.006,-156000000.0,-188000000.0,31839800.0,-75230100.0,232000000.0
2022-03-14,38.89,-0.0558,-590000000.0,-491000000.0,-98722700.0,104000000.0,486000000.0
2022-03-15,36.19,-0.0694,-609000000.0,-228000000.0,-381000000.0,117000000.0,493000000.0
2022-03-16,39.32,0.0865,647000000.0,389000000.0,258000000.0,-366000000.0,-281000000.0
2022-03-17,41.25,0.0491,579000000.0,571000000.0,8226300.0,-394000000.0,-185000000.0
2022-03-18,42.91,0.0402,138000000.0,363000000.0,-225000000.0,-105000000.0,-33179600.0
2022-03-21,41.55,-0.0317,-619000000.0,-414000000.0,-205000000.0,318000000.0,301000000.0
2022-03-22,42.27,0.0173,140000000.0,208000000.0,-67477600.0,-12473000.0,-128000000.0
2022-03-23,42.50,0.0054,-191000000.0,-129000000.0,-61557700.0,65505000.0,125000000.0
2022-03-24,42.51,0.0002,-9707600.0,34504600.0,-44212200.0,57857300.0,-48149600.0
2022-03-25,41.92,-0.0139,-182000000.0,-149000000.0,-32660500.0,107000000.0,74702300.0
2022-03-28,41.79,-0.0031,-8017100.0,-119000000.0,111000000.0,90676400.0,-82659300.0
2022-03-29,41.75,-0.001,-32404900.0,-70836100.0,38431200.0,98162300.0,-65757400.0
2022-03-30,42.97,0.0292,-18813800.0,111000000.0,-129000000.0,11028900.0,7784800.0
2022-03-31,43.54,0.0133,159000000.0,252000000.0,-93630400.0,-88420100.0,-70216100.0
2022-04-01,43.84,0.0069,-172000000.0,-44926900.0,-127000000.0,173000000.0,-1024200.0
2022-04-06,44.13,0.0066,35179900.0,176000000.0,-141000000.0,-63505500.0,28325600.0
2022-04-07,43.60,-0.012,134000000.0,-2899900.0,137000000.0,-122000000.0,-12829300.0
2022-04-08,43.92,0.0073,-170000000.0,-121000000.0,-48673200.0,159000000.0,10776000.0
2022-04-11,42.64,-0.0291,-244000000.0,-368000000.0,124000000.0,54300100.0,190000000.0
2022-04-12,42.44,-0.0047,-101000000.0,-90816800.0,-10212400.0,-9194200.0,110000000.0
2022-04-13,42.49,0.0012,-244000000.0,-127000000.0,-118000000.0,114000000.0,131000000.0
2022-04-14,42.50,0.0002,-33244200.0,-87044000.0,53799800.0,40674600.0,-7430300.0
2022-04-15,43.57,0.0252,413000000.0,251000000.0,162000000.0,-228000000.0,-185000000.0
2022-04-18,40.13,-0.079,-1921000000.0,-1361000000.0,-560000000.0,926000000.0,995000000.0
